caseId,description,landmark
1976-117,"A United States Supreme Court case in which the Court ruled that an East Cleveland, Ohio zoning ordinance that prohibited a grandmother from living with her grandchild was unconstitutional. Writing for a plurality of the Court, Justice Lewis F. Powell, Jr. ruled that the East Cleveland zoning ordinance violated substantive due process because it intruded too far upon the &quot;sanctity of the family.&quot; Justice John Paul Stevens wrote an opinion concurring in the judgment in which he agreed that the ordinance was unconstitutional, but he based his conclusion upon the theory that the ordinance intruded too far upon the Moore&apos;s ability to use her property &quot;as she sees fit.&quot; Scholars have recognized Moore as one of several Supreme Court decisions that established &quot;a constitutional right to family integrity.&quot;",
1957-072,A United States Supreme Court case in which the Court ruled that it was unconstitutional to revoke citizenship as a punishment for a crime. The ruling&apos;s reference to &quot;evolving standards of decency&quot; is frequently cited in Eighth Amendment jurisprudence.,
1955-004,"A United States Supreme Court case in which the Court ruled that the Kellogg Company was not violating any trademark or unfair competition laws when it manufactured its own Shredded Wheat breakfast cereal, which had originally been invented by the National Biscuit Company (later called Nabisco). Kellogg&apos;s version of the product was of an essentially identical shape, and was also marketed as &quot;Shredded Wheat&quot;; but Nabisco&apos;s patents had expired, and its trademark application for the term &quot;Shredded Wheat&quot; had been turned down as a descriptive, non-trademarkable term. The Court therefore &quot;forcefully applied the principle that once a patent has expired, its benefits are to be freely enjoyed by the public.&quot; Kellogg has been called possibly &quot;the Supreme Court&apos;s most versatile and influential trademark decision&quot;. It had a direct impact on the structure of the Lanham Act and is a &quot;routine starting point for analysis in trademark opinions in lower courts.",
1964-081,A United States Supreme Court case in which the Court ruled that Virginia&apos;s partial elimination of the poll tax violated the Twenty-fourth Amendment to the United States Constitution.,
1999-063,"A United States Supreme Court case in which the Court struck down Section 505 of the Telecommunications Act of 1996, which required that cable television operators completely scramble or block channels that are &quot;primarily dedicated to sexually-oriented programming&quot; from 10 pm to 6 am.",
1996-094,A United States Supreme Court case in which the Court unanimously ruled that anti-indecency provisions of the 1996 Communications Decency Act (CDA) violated First Amendment&apos;s guarantee of freedom of speech. Two Justices concurred in part and dissented in part to the decision. This was the first major Supreme Court ruling on the regulation of materials distributed via the Internet.,L
2011-011,A United States Supreme Court case in which the Court unanimously ruled that federal discrimination laws do not apply to religious organizations&apos; selection of religious leaders.,L
1976-174,"A United States Supreme Court case in which the Court upheld the right of lawyers to advertise their services. In holding that lawyer advertising was commercial speech entitled to protection under the First Amendment (incorporated against the States through the Fourteenth Amendment), the Court upset the tradition against advertising by lawyers, rejecting it as an antiquated rule of etiquette.",
1991-105,"A United States Supreme Court case in which the Supreme Court unanimously struck down St. Paul&apos;s Bias-Motivated Crime Ordinance and reversed the conviction of a teenager, referred to in court documents only as R.A.V., for burning a cross on the lawn of an African-American family for violating the First Amendment&apos;s protections for freedom of speech.",
1985-106,A United States Supreme Court case involving a challenge to Pennsylvania&apos;s Abortion Control Act of 1982.,
1988-127,"A United States Supreme Court case involving freedom of the press and privacy rights. After The Florida Star newspaper accidentally revealed the full name of a rape victim it got from a police report, the victim sued for damages. State law made it illegal for a publication to print a rape victim&apos;s name, and the victim was awarded damages. On appeal, the Supreme Court ruled the imposition of damages for truthfully publishing public information violates the First Amendment.",
1974-059,"A United States Supreme Court case involving freedom of the press publishing public information. The Court held that both a Georgia Statute prohibiting the release of a rape victim&apos;s name and its common-law privacy action counterpart were unconstitutional. The case was argued on November 11, 1974 and decided on March 3, 1975.",
1980-064,A United States Supreme Court case involving the application of the Dormant Commerce Clause to an Iowa state statute restricting the length of tractor-trailers.,
1988-139,A United States Supreme Court case involving the definition of &quot;indecent material&quot; and whether it is protected under the First Amendment to the United States Constitution. The Court invalidated part of a federal law that prohibited &quot;dial-a-porn&quot; telephone messaging services by making it a crime to transmit commercial telephone messages that were either &quot;obscene&quot; or &quot;indecent&quot;.,
1982-124,"A United States Supreme Court case involving the legality of redistricting, and possibly gerrymandering, in the state of New Jersey.",
1985-033,"A United States Supreme Court case involving the requirement that San Francisco-based public utility Pacific Gas and Electric Company carry a message supplied by a public interest group in rebuttal to the messages the utility supplied in its newsletter which it placed in its billing envelope. This is one of the cases which has essentially granted, with very limited exceptions, the absolute right of a publisher to choose not to carry messages it does not agree with.",
1975-170,"A United States Supreme Court case on abortion. The plaintiffs challenged the constitutionality of a Missouri statute regulating abortion. The Court upheld the right to have an abortion, declaring unconstitutional the statute&apos;s requirement of prior written consent from a parent (in the case of a minor) or a spouse (in the case of a married woman).",
1957-024,"A United States Supreme Court case regarding the defense of ignorance of the law when there is no legal notice. The court held that, when one is required to register one&apos;s presence, failure to register may only be punished when there is a probability that the accused party had knowledge of the law before committing the crime of failing to register.",
1978-023,"A United States Supreme Court case related to the Sixth Amendment. Ruth Bader Ginsburg, who later became a Supreme Court Justice herself, and Lee Nation argued for Duren in what became Ginsburg&apos;s last case before the Supreme Court as an attorney. Part of her argument was that making jury duty optional for women should be struck down because it treated women&apos;s service on juries as less valuable than menês.",
2000-052,"A United States Supreme Court case relieving a media defendant of liability for broadcasting a taped conversation of a labor official talking to other union people about a teachers&apos; strike. At trial, the parties stipulated that the taped conversation had been recorded in violation of the Electronic Communications Privacy Act. Nevertheless, the Court held the broadcast was legal.",
1971-062,"A United States Supreme Court case resulting in a Jacksonville vagrancy ordinance being declared unconstitutionally vague. The case was argued on December 8, 1971, and decided on February 24, 1972. The respondent was the city of Jacksonville, Florida.",
1982-130,A United States Supreme Court case ruling in 1983 that the one-house legislative veto violated the constitutional separation of powers.,
1982-009,"A United States Supreme Court case that dealt with political speech, and whether a state could require a minor political party to disclosure its membership, expenditures, and contributors. At the time, most states required political parties to disclose their contributions and expenditures; in 1982, the Court ruled that the Socialist Workers Party, a minor party in Ohio, was not required to disclose its contributors or recipients, on the basis of retributive animus and harassment if party functionaries did so.",
1998-012,"A United States Supreme Court case that dealt with the authority of states to regulate the electoral process, and the point at which state regulations of the electoral process violate the First Amendment freedoms.",
1972-176,A United States Supreme Court case that declared a provision of the Food Stamp Act denying food stamps to households of &quot;unrelated persons&quot; to be a violation of the U.S. Constitution. The Court held that provision to be irrelevant to the stated purpose of the statute and in violation of the Due Process Clause of the Fifth Amendment.,
1999-013,A United States Supreme Court case that determined that the Congress&apos;s enforcement powers under the Fourteenth Amendment to the Constitution did not extend to the abrogation of state sovereign immunity under the Eleventh Amendment where the discrimination complained of was rationally based on age.,
1964-046,"A United States Supreme Court case that ended government-operated rating boards with a decision that a rating board could only approve a film and had no power to ban a film. The ruling also concluded that a rating board must either approve a film within a reasonable time, or go to court to stop a film from being shown in theatres. Other court cases determined that television stations are federally licensed, so local rating boards have no jurisdiction over films shown on television. When the movie industry set up its own rating system the Motion Picture Association of America most state and local boards ceased operating.",
1974-118,A United States Supreme Court case that established First Amendment protection for advertising.,
1971-079,"A United States Supreme Court case that established the right of unmarried people to possess contraception on the same basis as married couples. The Court struck down a Massachusetts law prohibiting the distribution of contraceptives to unmarried people for the purpose of preventing pregnancy, ruling that it violated the Equal Protection Clause of the Constitution.",L
1978-049,A United States Supreme Court case that held that a statutory scheme in Alabama that imposed alimony obligations on husbands but not on wives was an unconstitutional equal protection violation.,
1991-078,A United States Supreme Court case that held that an Alabama law imposing a fee on out-of-state hazardous waste being disposed of in-state violated the Dormant Commerce Clause.,
1989-103,"A United States Supreme Court case that invalidated a federal law against flag desecration as violating of free speech under the First Amendment. It was argued together with the case United States v. Haggerty. It built on the opinion handed down in the Court&apos;s decision the prior year in Texas v. Johnson (1989), which invalidated on First Amendment grounds a Texas state statute banning flag burning.",
1968-010,"A United States Supreme Court case that invalidated an Arkansas statute that prohibited the teaching of human evolution in the public schools. The Court held that the First Amendment to the United States Constitution prohibits a state from requiring, in the words of the majority opinion, &quot;that teaching and learning must be tailored to the principles or prohibitions of any religious sect or dogma.&quot; The Supreme Court declared the Arkansas statute unconstitutional because it violated the Establishment Clause of the First Amendment. After this decision, some jurisdictions passed laws that required the teaching of creation science alongside evolution when evolution was taught. These were also ruled unconstitutional by the Court in the 1987 case Edwards v. Aguillard",
1973-159,"A United States Supreme Court case that overturned a Florida state law requiring newspapers to allow equal space in their newspapers to political candidates in the case of a political editorial or endorsement content. The court held that while the statute does not &quot;prevent [newspapers] from saying anything [they] wish&quot; it &quot;exacts a penalty on the basis of the content.&quot; Because newspapers are economically finite enterprises, &quot;editors may conclude that the safe course is to avoid controversy,&quot; thereby chilling speech. Furthermore, the Court held the exercise of editorial judgment is a protected First Amendment activity. In effect, this ruling reaffirmed the constitutional principle of freedom of the press (detailed in the First Amendment) and prevented state governments from controlling the content of the press. This case illustrates the medium with the most Constitutional protection newspapers while Red Lion Broadcasting Co. v. FCC (1969) represents the medium with the least protection broadcast, television, and radio.",
1978-158,"A United States Supreme Court case that ruled 8-1 that teenagers do not have to secure parental consent to obtain an abortion. The Court elaborated on its parental consent decision of 1976. It implies that states may be able to require a pregnant, unmarried minor to obtain parental consent to an abortion if the state law provides an alternative procedure to parental approval, such as letting the minor seek a state judge&apos;s approval instead. The plurality opinion declined to extend the full right to minors to seek and obtain an abortion, which was granted to adult women in Roe v. Wade. The Court rejected the extension to minors by placing emphasis on the especially vulnerable nature of children, their &quot;inability to make critical decisions in an informed and mature manner; and the importance of the parental role in child rearing.&quot; United States Supreme Court case holding that the Fourth Amendment guarantee against unreasonable search and seizure applies to Puerto Rico.",
1963-140,"A United States Supreme Court case that ruled that unlike in the election of the United States Senate, in the election of any chamber of a state legislature the electoral districts must be roughly equal in population. The case was brought on behalf of voters in Alabama by M.O. Sims, a taxpayer in Birmingham, Alabama, but affected both northern and southern states that had similarly failed to reapportion their legislatures in keeping with changes in state population after its application in five companion cases in Colorado, New York, Maryland, Virginia, and Delaware.",L
1985-162,"A United States Supreme Court case that struck down the Gramm-Rudman-Hollings Act as an unconstitutional usurpation of executive power by Congress because the law empowered Congress to terminate the United States Comptroller General for certain specified reasons, including &quot;inefficiency, &apos;neglect of duty,&apos; or &apos;malfeasance.&apos;&quot; The named defendant in the original case was Comptroller General Charles Arthur Bowsher and the constitutional challenge was brought forth by Oklahoma Congressman Mike Synar.",
1977-067,A United States Supreme Court case that struck down the last remaining state restriction against religious ministers holding elected office.,
1977-074,"A United States Supreme Court case that was argued on January 11, 1978 and decided on May 1, 1978. The court reversed a lower court&apos;s conviction of the publisher of Norfolk&apos;s The Virginian-Pilot for illegal disclosure of confidential proceedings before the Judicial Inquiry and Review Commission about a judge&apos;s misconduct.",
1995-037,"A United States Supreme Court case which held that Article One of the U.S. Constitution did not give the United States Congress the power to abrogate the sovereign immunity of the states that is further protected under the Eleventh Amendment. Such abrogation is permitted where it is necessary to enforce the rights of citizens guaranteed under the Fourteenth Amendment as per Fitzpatrick v. Bitzer, 427 U.S. 445 (1976). The case also held that the doctrine of Ex parte Young, 209 U.S. 123 (1908), which allows state officials to be sued in their official capacity for prospective injunctive relief, was inapplicable under these circumstances, because any remedy was limited to the one that Congress had provided.",
1963-113,A United States Supreme Court case which invalidated a law that treated naturalized and native-born citizens differentially under the due process clause of the Fifth Amendment.,
1963-063,A United States Supreme Court case which limited state law on unfair competition when it prevents the copying of an item that is not covered by a patent.,
1974-080,A United States Supreme Court case which struck down Utah&apos;s definitions of adulthood as a violation of equal protection: females reached adulthood at 18; males at 21.,
1969-097,"A United States Supreme Court case, which ruled that actors could wear accurate military uniforms regardless of the production&apos;s portrayal of the military on First Amendment grounds.",
1979-126,"A United States Supreme Court decision addressing the free speech rights of public utility corporations under the First Amendment. In a majority opinion written by Justice Lewis Powell, the Court invalidated an order by the New York Public Service Commission that prohibited utility companies from including inserts on controversial matters of public policy with billing statements.",
1993-033,"A United States Supreme Court decision focused on the aspect of state power and the interpretation of the Commerce Clause as a limitation on states&apos; regulatory power. In this particular case, the Supreme Court considered whether the Oregon Department of Environmental Quality&apos;s alleged cost-based surcharge on the disposal of out-of-state waste violated the dormant commerce clause.",
1968-129,"A United States Supreme Court decision in which the Court struck down a longstanding New York State statute requiring that to be eligible to vote in certain school district elections, an individual must either own or rent taxable real property within the school district, be the spouse of a property owner or lessor, or be the parent or guardian of a child attending a public school in the district. By a 5-to-3 vote, the court held that these voting requirements violated the Equal Protection Clause of the Fourteenth Amendment to the United States Constitution.",
1967-063,A United States Supreme Court decision interpreting the Fifth Amendment to the United States Constitution&apos;s self-incrimination clause. Haynes extended the Fifth Amendment protections elucidated in Marchetti v. United States.,
1966-122,"A United States Supreme Court decision invalidating a New York law under the Fourth Amendment, because the statute authorized electronic eavesdropping without required procedural safeguards.",
2004-014,"A United States Supreme Court decision on criminals&apos; sentences. The Court ruled that the Sixth Amendment right to jury trial requires that other than a prior conviction, only facts admitted by a defendant or proved beyond a reasonable doubt to a jury may be used to calculate a sentence exceeding the prescribed statutory maximum sentence, whether the defendant has pleaded guilty or been convicted at trial. The maximum sentence that a judge may impose is based upon the facts admitted by the defendant or proved to a jury beyond a reasonable doubt.",
1991-110,"A United States Supreme Court decision regarding school prayer. It was the first major school prayer case decided by the Rehnquist Court. It ruled that schools may not sponsor clerics to conduct even non-denominational prayer. The Court followed a broad interpretation of the Establishment Clause that had been standard for decades at the nation&apos;s highest court, a reaffirmation of the principles of such landmark cases as Engel v. Vitale and Abington v. Schempp.",L
1960-005,A United States Supreme Court decision that found an electoral district with boundaries created to disenfranchise blacks violated the Fifteenth Amendment.,
1969-069,A United States Supreme Court decision that held that &quot;the Due Process clause protects the accused against conviction except upon proof beyond a reasonable doubt of every fact necessary to constitute the crime charged.&quot; It established this burden in all cases in all states (constitutional case). The decision did not specify which facts constitute the charged crime.,
1968-078,"A United States Supreme Court decision that helped to establish an implied &quot;right to privacy&quot; in U.S. law, in the form of mere possession of obscene materials.",
1967-101,A United States Supreme Court decision that ruled part of the Federal Kidnapping Act unconstitutional.,
1966-111,"A United States Supreme Court decision that set an important legal precedent that held that a state could not authorize invidious discrimination by private landlords without entangling itself in the ensuing discriminatory private decisions. Thus, the state constitutional amendment by referendum purporting to authorize landlord freedom was unconstitutional.",
1967-078,A United States Supreme Court decision that upheld an appeals court decision to forbid segregation of public prisons,
1999-057,A United States Supreme Court decision which held that parts of the Violence Against Women Act of 1994 were unconstitutional because they exceeded congressional power under the Commerce Clause and under section 5 of the Fourteenth Amendment to the Constitution.,L
1978-080,"A United States Supreme Court decision, which held that the United States Congress may enact legislation governing wildlife on federal lands.",
1978-083,"A United States Supreme Court family law case which argued that a New York law, which allowed unwed mothers, but not unwed fathers, a veto over the adoption of that couple&apos;s children, was discriminatory.",
1991-077,"A United States Supreme Court ruling, since overturned, concerning use tax. The decision effectively prevented states from collecting any sales tax from retail purchases made over the Internet or other e-Commerce route unless the seller had a physical presence in the state. The ruling was based on the Dormant Commerce Clause, preventing states from interfering with interstate commerce unless authorized by the United States Congress. The case resulted from an attempt by North Dakota seeking to collect sales tax on licensed computer software offered by the Quill Corporation, an office supply retailer with no North Dakota presence, that allowed users to place orders directly with Quill.",
1963-143,A United States Supreme Court which was one of a series of cases decided in 1964 that ruled that state legislature districts had to be roughly equal in population.,
1994-091,A university cannot use student dues to fund secular groups while excluding religious groups.,L
1996-087,A US Supreme Court case concerning the scope of Congress&apos;s enforcement power under Section 5 of the Fourteenth Amendment. The case also had a significant impact on historic preservation.,L
1996-080,Allowing public school teachers to teach at parochial schools does not violate the Establishment Clause as long as the material that is taught is secular and neutral in nature and no &quot;excessive entanglement&quot; between government and religion is apparent.,L
2006-073,"Also known as the &quot;PICS&quot; case, is a United States Supreme Court case. At issue were efforts for voluntary school desegregation and integration in Seattle, Washington, and Louisville, Kentucky. Both school districts voluntarily used individualized racial classifications to achieve diversity and/or to avoid racial isolation through student assignment. The Court recognized that seeking diversity and avoiding racial isolation are compelling state interests. However, the Court struck down both school districts&apos; assignment plans, finding that the plans were not sufficiently &quot;narrowly tailored,&quot; a legal term that essentially suggests that the means or method being employed (in this case, a student assignment plan based on individualized racial classifications) is closely and narrowly tied to the ends (the stated goals of achieving diversity and/or avoiding racial isolation)",
1970-032,"An employer may not, in the absence of business necessity, refuse to hire women with preschool-age children while hiring men with such children.",L
1971-014,An Equal Protection case in the United States in which the Supreme Court ruled that the administrators of estates cannot be named in a way that discriminates between sexes.,L
1979-127,"An important case decided by the United States Supreme Court that laid out a four-part test for determining when restrictions on commercial speech violated the First Amendment of the United States Constitution. Justice Powell wrote the opinion of the court. Central Hudson Gas & Electric Corp. had challenged a Public Service Commission regulation that prohibited promotional advertising by electric utilities. Justice Brennan, Justice Blackmun, and Justice Stevens wrote separate concurring opinions, and the latter two were both joined by Justice Brennan. Justice Rehnquist dissented. The case presented the question whether a regulation of the New York Public Service Commission violates the First and Fourteenth Amendments because it completely bans promotional advertising by an electrical utility.",
1982-050,"An opinion of the Supreme Court of the United States overturning a use tax on paper and ink in excess of $100,000 consumed in any calendar year. The Minneapolis Star Tribune initially paid the tax and sued for a refund.",
2011-020,Attaching a GPS device to a vehicle and then using the device to monitor the vehicleês movements constitutes a search under the Fourth Amendment.,L
1974-025,"Billy J. Taylor was indicted and tried for &quot;aggravated kidnapping&quot; under Louisiana&apos;s then-mandatory capital sentencing system. While armed with a butcher knife, he approached an automobile occupied by Mrs. Louise Willie, her daughter, and grandson, forced her to go to an abandoned road near Mandeville, where he raped her before robbing them. The issue before the court was not whether Taylor actually kidnapped anyone, but whether he had a fair trial because Louisiana law had a &quot;conceded systematic impact&quot; to eliminate female jurors from his jury. A secondary issue was whether Taylor had standing, as a man who would not be excluded from jury duty in Louisiana, to challenge the rule.",L
2015-048,"Both the admitting-privileges and the surgical-center requirements place a substantial obstacle in the path of women seeking a pre-viability abortion, constitute an undue burden on abortion access, and thus violate the Constitution.",L
1977-157,Broadcasting has less First Amendment protection than other forms of communication because of its pervasive nature. The Federal Communications Commission has broad authority to determine what constitutes indecency in different contexts.,L
1947-024,Case involving racial segregation toward African Americans by the University of Oklahoma and the application of the Fourteenth Amendment to the United States Constitution.,
2013-070,"Closely held, for-profit corporations have free exercise rights under the Religious Freedom Restoration Act of 1993. As applied to such corporations, the requirement of the Patient Protection and Affordable Care Act that employers provide their female employees with no-cost access to contraception violates the Religious Freedom Restoration Act.",L
2001-083,Coercive drug testing imposed by school districts upon students who participate in extracurricular activities does not violate the Fourth Amendment.,L
1976-176,Congress has the power to pass a law that directs the seizure and disposition of the papers and tapes of a former president that are within the control of the executive branch.,L
1986-144,Congress may attach reasonable conditions to funds disbursed to the states without violating the Tenth Amendment.,L
2004-054,Congress may ban the use of marijuana even in states that have approved its use for medicinal purposes.,L
1965-126,Congress may enact laws stemming from Section 5 of the Fourteenth Amendment that increase the rights of citizens beyond what the judiciary has recognized.,L
1947-072,Courts may not enforce racial covenants on real estate.,L
2009-034,"Criminal defense attorneys are duty-bound to inform clients of the risk of deportation under three circumstances. First, where the law is unambiguous, attorneys must advise their criminal clients that deportation &quot;will&quot; result from a conviction. Second, where the immigration consequences of a conviction are unclear or uncertain, attorneys must advise that deportation &quot;may&quot; result. Finally, attorneys must give their clients some advice about deportation counsel cannot remain silent about immigration consequences.",
1960-133,"Evidence that is obtained in violation of the Fourth Amendment is inadmissible in state court. Notable for expanding the &quot;exclusionary rule&quot; originally articulated against only the Federal government in Weeks v. United States, 232 U.S. 383 (1914).",L
1975-174,Florida&apos;s new death penalty statute is constitutional because it requires the comparison of aggravating factors to mitigating factors in order to impose a death sentence.,L
1979-116,"Genetically modified organisms can be patented.According to the court a living, man-made micro-organism is patentable subject matter as a &quot;manufacture&quot; or &quot;composition of matter&quot; within the meaning of the Patent Act of 1952.",L
1975-173,"Georgia&apos;s new death penalty statute is constitutional because it adequately narrows the class of defendants eligible for the death penalty. This case and the next four cases were consolidated and decided simultaneously. By evaluating the new death penalty statutes that had been passed by the states, the Supreme Court ended the moratorium on executions that began with its decision in Furman v. Georgia (1972).",L
2017-021,"Government acquisition of cell-site records is a Fourth Amendment search, and, thus, generally requires a warrant.",L
1971-147,Government officials must obtain a warrant before beginning electronic surveillance even if domestic security issues are involved. The &quot;inherent vagueness of the domestic security concept&quot; and the potential for abusing it to quell political dissent make the Fourth Amendment&apos;s protections especially important when the government engages in spying on its own citizens.,L
1961-105,"Government-directed prayer in public schools, even if it is denominationally neutral and non-mandatory, violates the Establishment Clause.",L
2006-026,"Greenhouse gases are air pollutants, and the Environmental Protection Agency may regulate their emission under the Clean Air Act.",L
1985-059,"If a police interrogation begins after a defendant asserts his or her right to counsel at an arraignment or similar proceeding, then any waiver of that right for that police-initiated interrogation is invalid (overruled by Montejo v. Louisiana (2009)).",L
2010-084,"In 1998, Arizona voters approved the ballot measure known as the Clean Elections Act. When it was passed, the Clean Elections law established public financing for elections of statewide office campaigns. Candidates who choose to participate in the system must collect a specific number of $5 donations. This makes them eligible to receive government funds to run their campaigns. Under the law as passed, if a participating candidate is outspent by a non-participating opponent, the participating candidate receives added government funds matching the money raised privately by the non-participating candidate, up to three times the original government subsidy. The most prominent candidates filing under the Clean Elections system were Janet Napolitano, who was elected Governor in 2002, and Jan Brewer, who was elected Governor in 2010.",
1971-161,"In an opinion by Justice Marshall, the Court ruled that the Chicago&apos;s ordinance prohibiting non-labor pickets on school property violated the First Amendment&apos;s Freedom to Protest, as well as the Fourteenth Amendment of equal protection under the law. This decision was influenced by the precedents of past Supreme Court decisions such as Cox v. Louisiana",
1966-119,"In Loving v. Virginia, the Court struck down state laws which prohibited inter-racial marriage and held that marriage was a fundamental right.",
1970-138,Individuals may sue federal government officials who have violated their Fourth Amendment rights even though such a suit is not authorized by law. The existence of a remedy for the violation is implied from the importance of the right that is violated.,L
2007-026,"International treaties are not binding domestic law unless Congress enacts statutes implementing them or unless the treaties are self-executing. Also, decisions of the International Court of Justice are not binding domestic law, and without authority from Congress or the Constitution, the President lacks the power to enforce international treaties or decisions of the International Court of Justice.",L
1962-032,"Is a 6-to-3 ruling by the Supreme Court of the United States which held that the reservation of jurisdiction by a federal district court did not bar the U.S. Supreme Court from reviewing a state court&apos;s ruling, and also overturned certain laws enacted by the state of Virginia in 1956 as part of the Stanley plan and massive resistance, as violating the First and Fourteenth Amendments to the United States Constitution. The statutes here stricken down by the Supreme Court (and one overturned by the Virginia Supreme Court after the 1959 remand in Harrison v. NAACP) had expanded the definitions of the traditional common law crimes of barratry, champerty, and maintenance and had been targeted at the NAACP and its civil rights litigation.",
1962-058,"Is a landmark case in United States Supreme Court history. In it, the Supreme Court unanimously ruled that states are required under the Sixth Amendment of the U.S. Constitution to provide an attorney to defendants in criminal cases who are unable to afford their own attorneys. The case extended the right to counsel, which had been found under the Fifth and Sixth Amendments to impose requirements on the federal government, by imposing those requirements upon the states as well.",L
1953-070,"Is a landmark United States Supreme Court case in which the Court held that the Constitution prohibits segregated public schools in the District of Columbia. Originally argued on December 10_11, 1952, a year before Brown v. Board of Education, Bolling was reargued on December 8_9, 1953, and was unanimously decided on May 17, 1954, the same day as Brown. The Bolling decision was supplemented in 1955 with the second Brown opinion, which ordered desegregation &quot;with all deliberate speed.&quot; In Bolling, the Court did not address school desegregation in the context of the Fourteenth Amendment&apos;s Equal Protection Clause, which applies only to the states, but rather held that school segregation was unconstitutional under the Due Process Clause of the Fifth Amendment to the United States Constitution. The Court observed that the Fifth Amendment to the United States Constitution lacked an Equal Protection Clause, as in the Fourteenth Amendment to the United States Constitution. The Court held, however, that the concepts of Equal Protection and Due Process are not mutually exclusive, establishing the reverse incorporation doctrine.",L
1956-101,"Is a landmark United States Supreme Court case in which the Court held that U.S. citizen civilians outside of the territorial jurisdiction of the United States cannot be tried by U.S. military tribunal, but instead retain the protections guaranteed by the United States Constitution, in this case, trial by jury. Additionally, a plurality of the Court also reaffirmed the presidentês ability to enter into international executive agreements, though it held that such agreements cannot contradict federal law or the Constitution.",L
1952-023,"Is a unanimous ruling by the United States Supreme Court which held that Oklahoma loyalty oath legislation violated the due process clause of the Fourteenth Amendment to the United States Constitution because it did not give individuals the opportunity to abjure membership in subversive organizations. Due process requires that individuals have scienter (knowledge that their membership or support violates the loyalty oath), and the Oklahoma statute did not accommodate this requirement.",
1974-129,"Is a United States Supreme Court case concerning a city ordinance prohibiting the showing of films containing nudity by a drive-in theater located in Jacksonville, Florida.",
1970-113,Is a United States Supreme Court case in which the Court held that a local city ordinance that made it a criminal offense for three or more persons to assemble on a sidewalk and annoy passersby was unconstitutional.,
1966-116,"Is a United States Supreme Court case that overruled a previous case (Frank v. Maryland, 1959) and established the ability of a resident to deny entry to a building inspector without a warrant.",
1967-091,Is a United States Supreme Court case that ruled that local government districts had to be roughly equal in population.,
1960-135,"Is an in rem case decided by the United States Supreme Court on the seizure of obscene materials. The Court unanimously overturned a Missouri Supreme Court decision upholding the forfeiture of hundreds of magazines confiscated from a Kansas City wholesaler. It held that both Missouri&apos;s procedures for the seizure of allegedly obscene material and the execution of the warrant itself violated the Fourth and Fourteenth amendments&apos; prohibitions on search and seizure without due process. Those violations, in turn, threatened the rights protected by the First Amendment.",
1981-172,"It was a 5_4 decision in which the United States Supreme Court applied its capital proportionality principle, to set aside the death penalty for the driver of a getaway car, in a robbery-murder of an elderly Florida couple.",L
1972-117,"It was the second substantive ruling by the United States Supreme Court regarding the rights of individuals in violation of a probation or parole sentence. The case involved Gerald Scarpelli, a man serving a probation sentence in the State of Wisconsin for armed robbery. While the judge sentenced Scarpelli to 15 years imprisonment, the judge suspended Scarpelli&apos;s sentence and ordered him to serve 7 years probation. After the probation sentence began, Scarpelli was arrested for burglary in Illinois. Scarpelli&apos;s probation was revoked by the Wisconsin Department of Public Welfare subsequent to his confession to police that he was involved in the burglary. The confession in question was later challenged by Scarpelli as being made under duress. After the revocation proceedings, Scarpelli was incarcerated. After 3 years of incarceration, Scarpelli challenged the revocation of his probation because he was not afforded a hearing on the matter. The State of Wisconsin argued that his probation was violated for two legitimate reasons: Scarpelli had been associating with felons in general and Scarpelli was associated with a known felon at the time of his arrest.",
1946-017,"Justice felix frankfurter, for a 6_3 Supreme Court, here voided an Indiana tax levied on proceeds realized from the sale of securities in another state. Frankfurter struck down the tax as a greater burden than police regulations on interstate commerce. Justice william o. douglas, dissenting, denied the existence of any interstate commerce.",
1991-099,"Justice Sandra Day O&apos;Connor, writing for the majority, found that the &quot;Take Title&quot; provision of the Low-Level Radioactive Waste Policy Amendments Act of 1985 exceeded Congress&apos;s power under the Commerce Clause.",
1966-094,Juvenile defendants are protected under the Due Process Clause of the Fourteenth Amendment.,L
1966-123,Laws that prohibit interracial marriage (anti-miscegenation laws) are unconstitutional.,L
1981-171,"Laws that prohibit the sale, distribution, and advertisement of child pornography are constitutional even if the content does not meet the conditions necessary for it to be labeled obscene.",L
2013-033,Limits on the total amounts of money that individuals can donate to political campaigns during two-year election cycles violate the First Amendment.,L
2004-069,Local governments may seize property for economic development purposes. Noted for converting the &quot;public use&quot; requirement of the Takings Clause (Fifth Amendment) to &quot;public purpose.&quot;,L
1975-177,Louisiana&apos;s new death penalty statute is unconstitutional because it calls for a mandatory death sentence for a large range of crimes.,L
1983-022,Manufacturers of home video recording machines cannot be liable for contributory copyright infringement for the potential uses by their purchasers because the devices are sold for legitimate purposes and have substantial non-infringing uses. Personal use of the machines to record broadcast television programs for later viewing constitutes fair use.,L
1953-068,"Mexican Americans and all other racial and national groups in the United States have equal protection under the Fourteenth Amendment to the United States Constitution. The protection of the 14th Amendment covers any racial, national and ethnic groups of the United States for which discrimination can be proved.",L
1967-137,Native American treaty rights are not repealed without a clear and unequivocal statement to that effect from Congress.,L
1989-061,Neutral laws of general applicability do not violate the Free Exercise Clause.,L
1996-092,New York State&apos;s prohibition on assisted suicide does not violate the Equal Protection Clause.,L
1981-175,"Nonviolent boycotts and related activities to bring about political, social and economic change are political speech which are entitled to the protection of the First Amendment.",L
1975-176,North Carolina&apos;s new death penalty statute is unconstitutional because it calls for a mandatory death sentence to be imposed.,L
